TIME=1167872504410339,TENTATIVE=1681.4
TIME=1167872504806573,TENTATIVE=145.408
TIME=1167872504809266,TENTATIVE=144.495
TIME=1167872504811868,TENTATIVE=143.711
TIME=1167872504814549,TENTATIVE=142.829
TIME=1167872504817245,TENTATIVE=141.955
TIME=1167872504819855,TENTATIVE=141.209
TIME=1167872504822531,TENTATIVE=140.368
TIME=1167872504825223,TENTATIVE=139.509
TIME=1167872504827821,TENTATIVE=138.795
TIME=1167872504830509,TENTATIVE=137.97
TIME=1167872504833200,TENTATIVE=137.174
TIME=1167872504835796,TENTATIVE=136.449
TIME=1167872504838486,TENTATIVE=135.642
TIME=1167872504841179,TENTATIVE=134.856
TIME=1167872504843776,TENTATIVE=134.18
TIME=1167872504846465,TENTATIVE=133.406
TIME=1167872504849159,TENTATIVE=132.632
TIME=1167872504851755,TENTATIVE=131.987
TIME=1167872504854447,TENTATIVE=131.234
TIME=1167872504857138,TENTATIVE=130.492
TIME=1167872504859734,TENTATIVE=129.855
TIME=1167872504862428,TENTATIVE=129.132
TIME=1167872504865117,TENTATIVE=128.418
TIME=1167872504867710,TENTATIVE=127.809
TIME=1167872504870401,TENTATIVE=127.098
TIME=1167872504873093,TENTATIVE=126.408
TIME=1167872504875689,TENTATIVE=125.818
TIME=1167872504878380,TENTATIVE=125.136
TIME=1167872504881071,TENTATIVE=124.453
TIME=1167872504883668,TENTATIVE=123.885
TIME=1167872504886357,TENTATIVE=123.227
TIME=1167872504889051,TENTATIVE=122.566
TIME=1167872504891646,TENTATIVE=122.006
TIME=1167872504894343,TENTATIVE=121.364
TIME=1167872504897031,TENTATIVE=120.733
TIME=1167872504899622,TENTATIVE=120.196
TIME=1167872504902332,TENTATIVE=119.549
TIME=1167872504905008,TENTATIVE=118.955
TIME=1167872504907604,TENTATIVE=118.428
TIME=1167872504910295,TENTATIVE=117.822
TIME=1167872504912987,TENTATIVE=117.22
TIME=1167872504915583,TENTATIVE=116.717
TIME=1167872504918272,TENTATIVE=116.131
TIME=1167872504920965,TENTATIVE=115.546
TIME=1167872504923560,TENTATIVE=115.048
TIME=1167872504926250,TENTATIVE=114.486
TIME=1167872504928945,TENTATIVE=113.919
TIME=1167872504931539,TENTATIVE=113.438
TIME=1167872504934229,TENTATIVE=112.879
TIME=1167872504936925,AUTHORITATIVE=112.333
TIME=1167872504939517,TENTATIVE=113.515
TIME=1167872504942206,TENTATIVE=112.941
TIME=1167872504944902,AUTHORITATIVE=112.383
TIME=1167872504947497,TENTATIVE=113.548
TIME=1167872504950185,TENTATIVE=112.993
TIME=1167872504952879,AUTHORITATIVE=112.436
TIME=1167872504955473,TENTATIVE=113.605
TIME=1167872504958166,TENTATIVE=113.045
TIME=1167872504960857,AUTHORITATIVE=112.491
TIME=1167872504963453,TENTATIVE=113.656
TIME=1167872504966143,TENTATIVE=113.101
TIME=1167872504968837,AUTHORITATIVE=112.542
TIME=1167872504971432,TENTATIVE=113.71
TIME=1167872504974123,TENTATIVE=113.153
TIME=1167872504976819,AUTHORITATIVE=112.591
TIME=1167872504979410,TENTATIVE=113.765
TIME=1167872504982101,TENTATIVE=113.205
TIME=1167872504984805,AUTHORITATIVE=112.639
TIME=1167872504987387,TENTATIVE=113.821
TIME=1167872504990079,TENTATIVE=113.261
TIME=1167872504992770,AUTHORITATIVE=112.702
TIME=1167872504995368,TENTATIVE=113.872
TIME=1167872504998057,TENTATIVE=113.315
TIME=1167872505000750,TENTATIVE=112.753
TIME=1167872505003349,AUTHORITATIVE=112.283
TIME=1167872505006036,TENTATIVE=113.367
TIME=1167872505008728,TENTATIVE=112.806
TIME=1167872505011329,AUTHORITATIVE=112.334
TIME=1167872505014015,TENTATIVE=113.446
TIME=1167872505016709,TENTATIVE=112.886
TIME=1167872505019304,AUTHORITATIVE=112.407
TIME=1167872505021993,TENTATIVE=113.498
TIME=1167872505024685,TENTATIVE=112.943
TIME=1167872505027280,AUTHORITATIVE=112.465
TIME=1167872505029972,TENTATIVE=113.554
TIME=1167872505032664,TENTATIVE=112.995
TIME=1167872505035259,AUTHORITATIVE=112.516
TIME=1167872505037950,TENTATIVE=113.607
TIME=1167872505040642,TENTATIVE=113.048
TIME=1167872505043238,AUTHORITATIVE=112.568
TIME=1167872505045929,TENTATIVE=113.658
TIME=1167872505048622,TENTATIVE=113.101
TIME=1167872505051229,AUTHORITATIVE=112.612
TIME=1167872505053909,TENTATIVE=113.712
TIME=1167872505056600,TENTATIVE=113.154
TIME=1167872505059204,AUTHORITATIVE=112.668
TIME=1167872505061886,TENTATIVE=113.768
TIME=1167872505064579,TENTATIVE=113.208
TIME=1167872505067175,AUTHORITATIVE=112.728
TIME=1167872505069865,TENTATIVE=113.824
TIME=1167872505072559,TENTATIVE=113.264
TIME=1167872505075153,AUTHORITATIVE=112.783
TIME=1167872505077842,TENTATIVE=113.879
TIME=1167872505080537,TENTATIVE=113.316
TIME=1167872505083130,TENTATIVE=112.837
TIME=1167872505085826,AUTHORITATIVE=112.289
TIME=1167872505088515,TENTATIVE=113.37
TIME=1167872505091111,TENTATIVE=112.891
TIME=1167872505093806,AUTHORITATIVE=112.342
TIME=1167872505096493,TENTATIVE=113.436
TIME=1167872505099090,TENTATIVE=112.957
TIME=1167872505101781,AUTHORITATIVE=112.402
TIME=1167872505104471,TENTATIVE=113.492
TIME=1167872505107072,TENTATIVE=113.008
TIME=1167872505109759,AUTHORITATIVE=112.455
TIME=1167872505112449,TENTATIVE=113.546
TIME=1167872505115046,TENTATIVE=113.065
TIME=1167872505117735,AUTHORITATIVE=112.51
TIME=1167872505120428,TENTATIVE=113.599
TIME=1167872505123024,TENTATIVE=113.119
TIME=1167872505125714,AUTHORITATIVE=112.562
TIME=1167872505128406,TENTATIVE=113.65
TIME=1167872505131003,TENTATIVE=113.167
TIME=1167872505133703,AUTHORITATIVE=112.605
TIME=1167872505136385,TENTATIVE=113.706
TIME=1167872505138981,TENTATIVE=113.226
TIME=1167872505141685,AUTHORITATIVE=112.657
TIME=1167872505144364,TENTATIVE=113.76
TIME=1167872505146960,TENTATIVE=113.28
TIME=1167872505149651,AUTHORITATIVE=112.722
TIME=1167872505152344,TENTATIVE=113.813
TIME=1167872505154938,TENTATIVE=113.331
TIME=1167872505157628,AUTHORITATIVE=112.775
TIME=1167872505160320,TENTATIVE=113.871
TIME=1167872505162917,TENTATIVE=113.388
TIME=1167872505165607,TENTATIVE=112.83
TIME=1167872505168300,AUTHORITATIVE=112.285
TIME=1167872505170896,TENTATIVE=113.442
TIME=1167872505173584,TENTATIVE=112.886
TIME=1167872505176284,AUTHORITATIVE=112.333
TIME=1167872505178874,TENTATIVE=113.513
TIME=1167872505181563,TENTATIVE=112.957
TIME=1167872505184256,AUTHORITATIVE=112.412
TIME=1167872505186852,TENTATIVE=113.574
TIME=1167872505189546,TENTATIVE=113.013
TIME=1167872505192235,AUTHORITATIVE=112.46
TIME=1167872505194832,TENTATIVE=113.626
TIME=1167872505197520,TENTATIVE=113.073
TIME=1167872505200213,AUTHORITATIVE=112.513
TIME=1167872505202809,TENTATIVE=113.682
TIME=1167872505205501,TENTATIVE=113.123
TIME=1167872505208190,AUTHORITATIVE=112.568
TIME=1167872505210789,TENTATIVE=113.735
TIME=1167872505213477,TENTATIVE=113.179
TIME=1167872505216185,AUTHORITATIVE=112.609
TIME=1167872505218765,TENTATIVE=113.795
TIME=1167872505221455,TENTATIVE=113.233
TIME=1167872505224156,AUTHORITATIVE=112.668
TIME=1167872505226745,TENTATIVE=113.846
TIME=1167872505229434,TENTATIVE=113.288
TIME=1167872505232129,AUTHORITATIVE=112.728
TIME=1167872505234723,TENTATIVE=113.904
TIME=1167872505237413,TENTATIVE=113.344
TIME=1167872505240106,TENTATIVE=112.785
TIME=1167872505242707,AUTHORITATIVE=112.315
TIME=1167872505245392,TENTATIVE=113.4
TIME=1167872505248085,TENTATIVE=112.84
TIME=1167872505250683,AUTHORITATIVE=112.373
TIME=1167872505253369,TENTATIVE=113.46
TIME=1167872505256062,TENTATIVE=112.902
TIME=1167872505258666,AUTHORITATIVE=112.418
TIME=1167872505261349,TENTATIVE=113.513
TIME=1167872505264041,TENTATIVE=112.959
TIME=1167872505266637,AUTHORITATIVE=112.479
TIME=1167872505269327,TENTATIVE=113.571
TIME=1167872505272028,TENTATIVE=113.006
TIME=1167872505274616,AUTHORITATIVE=112.534
TIME=1167872505277307,TENTATIVE=113.626
TIME=1167872505279999,TENTATIVE=113.07
TIME=1167872505282594,AUTHORITATIVE=112.591
TIME=1167872505285285,TENTATIVE=113.681
TIME=1167872505287979,TENTATIVE=113.122
TIME=1167872505290584,AUTHORITATIVE=112.634
TIME=1167872505293263,TENTATIVE=113.739
TIME=1167872505295957,TENTATIVE=113.177
TIME=1167872505298553,AUTHORITATIVE=112.696
TIME=1167872505301242,TENTATIVE=113.79
TIME=1167872505303935,TENTATIVE=113.231
TIME=1167872505306529,AUTHORITATIVE=112.751
TIME=1167872505309219,TENTATIVE=113.846
TIME=1167872505311914,TENTATIVE=113.284
TIME=1167872505314508,AUTHORITATIVE=112.803
TIME=1167872505317197,TENTATIVE=113.899
TIME=1167872505319894,TENTATIVE=113.334
TIME=1167872505322488,TENTATIVE=112.855
TIME=1167872505325182,AUTHORITATIVE=112.309
TIME=1167872505327871,TENTATIVE=113.39
TIME=1167872505330468,TENTATIVE=112.907
TIME=1167872505333157,AUTHORITATIVE=112.363
TIME=1167872505335849,TENTATIVE=113.456
TIME=1167872505338444,TENTATIVE=112.978
TIME=1167872505341134,AUTHORITATIVE=112.425
TIME=1167872505343827,TENTATIVE=113.511
TIME=1167872505346423,TENTATIVE=113.032
TIME=1167872505349114,AUTHORITATIVE=112.478
TIME=1167872505351807,TENTATIVE=113.575
TIME=1167872505354403,TENTATIVE=113.096
TIME=1167872505357091,AUTHORITATIVE=112.541
TIME=1167872505359785,TENTATIVE=113.628
TIME=1167872505362380,TENTATIVE=113.148
TIME=1167872505365069,AUTHORITATIVE=112.592
TIME=1167872505367764,TENTATIVE=113.679
TIME=1167872505370358,TENTATIVE=113.202
TIME=1167872505373060,AUTHORITATIVE=112.633
TIME=1167872505375741,TENTATIVE=113.737
TIME=1167872505378337,TENTATIVE=113.254
TIME=1167872505381034,AUTHORITATIVE=112.691
TIME=1167872505383720,TENTATIVE=113.788
TIME=1167872505386315,TENTATIVE=113.308
TIME=1167872505389005,AUTHORITATIVE=112.749
TIME=1167872505391698,TENTATIVE=113.843
TIME=1167872505394295,TENTATIVE=113.359
TIME=1167872505396985,AUTHORITATIVE=112.8
TIME=1167872505399677,TENTATIVE=113.894
TIME=1167872505402274,TENTATIVE=113.408
TIME=1167872505404964,TENTATIVE=112.852
TIME=1167872505407661,AUTHORITATIVE=112.304
TIME=1167872505410251,TENTATIVE=113.464
TIME=1167872505412941,TENTATIVE=112.905
TIME=1167872505415642,AUTHORITATIVE=112.352
TIME=1167872505418229,TENTATIVE=113.538
TIME=1167872505420919,TENTATIVE=112.982
TIME=1167872505423614,AUTHORITATIVE=112.423
TIME=1167872505426207,TENTATIVE=113.592
TIME=1167872505428901,TENTATIVE=113.032
TIME=1167872505431593,AUTHORITATIVE=112.476
TIME=1167872505434187,TENTATIVE=113.646
TIME=1167872505436876,TENTATIVE=113.089
TIME=1167872505439567,AUTHORITATIVE=112.536
TIME=1167872505442166,TENTATIVE=113.701
TIME=1167872505444855,TENTATIVE=113.145
TIME=1167872505447548,AUTHORITATIVE=112.586
TIME=1167872505450145,TENTATIVE=113.753
TIME=1167872505452834,TENTATIVE=113.198
TIME=1167872505455537,AUTHORITATIVE=112.63
TIME=1167872505458122,TENTATIVE=113.809
TIME=1167872505460813,TENTATIVE=113.251
TIME=1167872505463520,AUTHORITATIVE=112.678
TIME=1167872505466100,TENTATIVE=113.862
TIME=1167872505468793,TENTATIVE=113.302
TIME=1167872505471484,TENTATIVE=112.743
TIME=1167872505474081,AUTHORITATIVE=112.275
TIME=1167872505476771,TENTATIVE=113.354
TIME=1167872505479461,TENTATIVE=112.798
TIME=1167872505482065,AUTHORITATIVE=112.323
TIME=1167872505484747,TENTATIVE=113.429
TIME=1167872505487441,TENTATIVE=112.853
TIME=1167872505490038,AUTHORITATIVE=112.375
TIME=1167872505492727,TENTATIVE=113.465
TIME=1167872505495419,TENTATIVE=112.908
TIME=1167872505498017,AUTHORITATIVE=112.428
TIME=1167872505500705,TENTATIVE=113.521
TIME=1167872505503399,TENTATIVE=112.962
TIME=1167872505505992,AUTHORITATIVE=112.484
TIME=1167872505508683,TENTATIVE=113.574
TIME=1167872505511384,TENTATIVE=113.008
TIME=1167872505513973,AUTHORITATIVE=112.534
TIME=1167872505516663,TENTATIVE=113.628
TIME=1167872505519355,TENTATIVE=113.068
TIME=1167872505521950,AUTHORITATIVE=112.589
TIME=1167872505524641,TENTATIVE=113.689
TIME=1167872505527335,TENTATIVE=113.128
TIME=1167872505529942,AUTHORITATIVE=112.639
TIME=1167872505532618,TENTATIVE=113.743
TIME=1167872505535312,TENTATIVE=113.182
TIME=1167872505537910,AUTHORITATIVE=112.701
TIME=1167872505540610,TENTATIVE=113.786
TIME=1167872505543292,TENTATIVE=113.234
TIME=1167872505545886,AUTHORITATIVE=112.756
TIME=1167872505548578,TENTATIVE=113.847
TIME=1167872505551269,TENTATIVE=113.292
TIME=1167872505553866,AUTHORITATIVE=112.808
TIME=1167872505556554,TENTATIVE=113.905
TIME=1167872505559247,TENTATIVE=113.341
TIME=1167872505561842,TENTATIVE=112.86
TIME=1167872505564537,AUTHORITATIVE=112.312
TIME=1167872505567225,TENTATIVE=113.392
TIME=1167872505569824,TENTATIVE=112.908
TIME=1167872505572513,AUTHORITATIVE=112.365
TIME=1167872505575206,TENTATIVE=113.456
TIME=1167872505577799,TENTATIVE=112.978
TIME=1167872505580492,AUTHORITATIVE=112.423
TIME=1167872505583184,TENTATIVE=113.51
TIME=1167872505585779,TENTATIVE=113.03
TIME=1167872505588468,AUTHORITATIVE=112.478
TIME=1167872505591161,TENTATIVE=113.566
TIME=1167872505593758,TENTATIVE=113.088
TIME=1167872505596445,AUTHORITATIVE=112.534
TIME=1167872505599140,TENTATIVE=113.622
TIME=1167872505601736,TENTATIVE=113.141
TIME=1167872505604437,AUTHORITATIVE=112.575
TIME=1167872505607119,TENTATIVE=113.673
TIME=1167872505609716,TENTATIVE=113.192
TIME=1167872505612411,AUTHORITATIVE=112.631
TIME=1167872505615098,TENTATIVE=113.725
TIME=1167872505617693,TENTATIVE=113.246
TIME=1167872505620384,AUTHORITATIVE=112.689
TIME=1167872505623076,TENTATIVE=113.783
TIME=1167872505625674,TENTATIVE=113.3
TIME=1167872505628361,AUTHORITATIVE=112.745
TIME=1167872505631055,TENTATIVE=113.838
TIME=1167872505633650,TENTATIVE=113.357
TIME=1167872505636339,AUTHORITATIVE=112.8
TIME=1167872505639036,TENTATIVE=113.89
TIME=1167872505641630,TENTATIVE=113.408
TIME=1167872505644319,TENTATIVE=112.85
TIME=1167872505647018,AUTHORITATIVE=112.301
TIME=1167872505649607,TENTATIVE=113.465
TIME=1167872505652297,TENTATIVE=112.905
TIME=1167872505654991,AUTHORITATIVE=112.359
TIME=1167872505657590,TENTATIVE=113.531
TIME=1167872505660279,TENTATIVE=112.977
TIME=1167872505663074,AUTHORITATIVE=112.339
TIME=1167872505665564,TENTATIVE=113.592
TIME=1167872505668254,TENTATIVE=113.034
TIME=1167872505670947,AUTHORITATIVE=112.476
TIME=1167872505673543,TENTATIVE=113.645
TIME=1167872505676232,TENTATIVE=113.089
TIME=1167872505678926,AUTHORITATIVE=112.531
TIME=1167872505681521,TENTATIVE=113.699
TIME=1167872505684213,TENTATIVE=113.138
TIME=1167872505686915,AUTHORITATIVE=112.575
TIME=1167872505689501,TENTATIVE=113.753
TIME=1167872505692190,TENTATIVE=113.205
TIME=1167872505694902,AUTHORITATIVE=112.63
TIME=1167872505697479,TENTATIVE=113.816
TIME=1167872505700168,TENTATIVE=113.261
TIME=1167872505702864,AUTHORITATIVE=112.699
TIME=1167872505705456,TENTATIVE=113.874
TIME=1167872505708147,TENTATIVE=113.315
TIME=1167872505710839,TENTATIVE=112.758
TIME=1167872505713440,AUTHORITATIVE=112.285
TIME=1167872505716125,TENTATIVE=113.369
TIME=1167872505718818,TENTATIVE=112.809
TIME=1167872505721414,AUTHORITATIVE=112.344
TIME=1167872505724105,TENTATIVE=113.462
TIME=1167872505726797,TENTATIVE=112.904
TIME=1167872505729394,AUTHORITATIVE=112.426
TIME=1167872505732082,TENTATIVE=113.516
TIME=1167872505734776,TENTATIVE=112.956
TIME=1167872505737371,AUTHORITATIVE=112.479
TIME=1167872505740061,TENTATIVE=113.571
TIME=1167872505742756,TENTATIVE=113.013
TIME=1167872505745349,AUTHORITATIVE=112.534
TIME=1167872505748038,TENTATIVE=113.626
TIME=1167872505750733,TENTATIVE=113.066
TIME=1167872505753333,AUTHORITATIVE=112.583
TIME=1167872505756018,TENTATIVE=113.681
TIME=1167872505758711,TENTATIVE=113.12
TIME=1167872505761320,AUTHORITATIVE=112.633
TIME=1167872505763998,TENTATIVE=113.735
TIME=1167872505766692,TENTATIVE=113.174
TIME=1167872505769287,AUTHORITATIVE=112.694
TIME=1167872505771973,TENTATIVE=113.793
TIME=1167872505774668,TENTATIVE=113.23
TIME=1167872505777262,AUTHORITATIVE=112.751
TIME=1167872505779955,TENTATIVE=113.843
TIME=1167872505782647,TENTATIVE=113.28
TIME=1167872505785242,AUTHORITATIVE=112.801
TIME=1167872505787932,TENTATIVE=113.897
TIME=1167872505790625,TENTATIVE=113.338
TIME=1167872505793219,TENTATIVE=112.856
TIME=1167872505795919,AUTHORITATIVE=112.305
TIME=1167872505798602,TENTATIVE=113.392
TIME=1167872505801200,TENTATIVE=112.908
TIME=1167872505803890,AUTHORITATIVE=112.362
TIME=1167872505806583,TENTATIVE=113.456
TIME=1167872505809178,TENTATIVE=112.977
TIME=1167872505811869,AUTHORITATIVE=112.421
TIME=1167872505814564,TENTATIVE=113.506
TIME=1167872505817156,TENTATIVE=113.03
TIME=1167872505819847,AUTHORITATIVE=112.476
TIME=1167872505822539,TENTATIVE=113.564
TIME=1167872505825136,TENTATIVE=113.081
TIME=1167872505827825,AUTHORITATIVE=112.528
TIME=1167872505830517,TENTATIVE=113.617
TIME=1167872505833114,TENTATIVE=113.135
TIME=1167872505835820,AUTHORITATIVE=112.567
TIME=1167872505838496,TENTATIVE=113.673
TIME=1167872505841092,TENTATIVE=113.194
TIME=1167872505843791,AUTHORITATIVE=112.628
TIME=1167872505846476,TENTATIVE=113.727
TIME=1167872505849071,TENTATIVE=113.246
TIME=1167872505851762,AUTHORITATIVE=112.689
TIME=1167872505854453,TENTATIVE=113.793
TIME=1167872505857051,TENTATIVE=113.311
TIME=1167872505859739,AUTHORITATIVE=112.754
TIME=1167872505862433,TENTATIVE=113.846
TIME=1167872505865027,TENTATIVE=113.367
TIME=1167872505867718,AUTHORITATIVE=112.806
TIME=1167872505870414,TENTATIVE=113.897
TIME=1167872505873006,TENTATIVE=113.416
TIME=1167872505875698,TENTATIVE=112.856
TIME=1167872505878394,AUTHORITATIVE=112.309
TIME=1167872505880986,TENTATIVE=113.47
TIME=1167872505883676,TENTATIVE=112.912
TIME=1167872505886368,AUTHORITATIVE=112.365
TIME=1167872505888965,TENTATIVE=113.539
TIME=1167872505891653,TENTATIVE=112.985
TIME=1167872505894346,AUTHORITATIVE=112.429
TIME=1167872505896941,TENTATIVE=113.597
TIME=1167872505899632,TENTATIVE=113.039
TIME=1167872505902324,AUTHORITATIVE=112.483
TIME=1167872505904920,TENTATIVE=113.653
TIME=1167872505907612,TENTATIVE=113.096
TIME=1167872505910303,AUTHORITATIVE=112.541
TIME=1167872505912899,TENTATIVE=113.707
TIME=1167872505915588,TENTATIVE=113.151
TIME=1167872505918293,AUTHORITATIVE=112.581
TIME=1167872505920877,TENTATIVE=113.762
TIME=1167872505923568,TENTATIVE=113.203
TIME=1167872505926278,AUTHORITATIVE=112.631
TIME=1167872505928858,TENTATIVE=113.816
TIME=1167872505931547,TENTATIVE=113.257
TIME=1167872505934239,AUTHORITATIVE=112.701
TIME=1167872505936834,TENTATIVE=113.874
TIME=1167872505939523,TENTATIVE=113.318
TIME=1167872505942218,TENTATIVE=112.754
TIME=1167872505944820,AUTHORITATIVE=112.283
TIME=1167872505947504,TENTATIVE=113.367
TIME=1167872505950195,TENTATIVE=112.809
TIME=1167872505952792,AUTHORITATIVE=112.341
TIME=1167872505955483,TENTATIVE=113.459
TIME=1167872505958174,TENTATIVE=112.905
TIME=1167872505960770,AUTHORITATIVE=112.426
TIME=1167872505963459,TENTATIVE=113.518
TIME=1167872505966153,TENTATIVE=112.959
TIME=1167872505968749,AUTHORITATIVE=112.481
TIME=1167872505971440,TENTATIVE=113.569
TIME=1167872505974135,TENTATIVE=113.009
TIME=1167872505976729,AUTHORITATIVE=112.533
